epoch,train_loss,test_loss,test_acc,lr,elapsed_s
1,3.908973,3.317722,0.213239,1.00e-04,440.7
2,2.748154,2.006967,0.687943,9.96e-05,420.6
3,1.933382,1.432809,0.841608,9.84e-05,427.4
4,1.544871,1.266990,0.878014,9.65e-05,454.8
5,1.378759,1.347090,0.850118,9.39e-05,448.4
6,1.275019,1.165815,0.906856,9.05e-05,443.0
7,1.212916,1.104649,0.928132,8.66e-05,443.2
8,1.170072,1.313618,0.874232,8.21e-05,443.7
9,1.126552,1.054227,0.938061,7.70e-05,442.0
10,1.094519,0.998523,0.951300,7.16e-05,442.9
11,1.070330,0.980031,0.959338,6.58e-05,426.5
12,1.052993,0.982467,0.953664,5.98e-05,423.0
13,1.033141,0.958830,0.957920,5.36e-05,421.6
14,1.010298,0.933732,0.961702,4.74e-05,423.3
15,0.999628,0.922359,0.968322,4.12e-05,424.0
16,0.994260,0.925427,0.966903,3.52e-05,421.2
17,0.978655,0.929251,0.965957,2.94e-05,423.8
18,0.974460,0.897792,0.970686,2.40e-05,422.6
19,0.966940,0.897830,0.970213,1.89e-05,423.5
20,0.960062,0.899913,0.972104,1.44e-05,422.6
21,0.954867,0.897737,0.971158,1.05e-05,426.2
22,0.950924,0.889791,0.973995,7.12e-06,447.4
23,0.947355,0.890994,0.973995,4.48e-06,443.8
24,0.939400,0.893128,0.972577,2.56e-06,431.2
25,0.945212,0.892271,0.974941,1.39e-06,442.3